,Unnamed: 0,route_name,route_link,bus_name,bus_type,departing_time,duration,arrival_time,star_rating,fare_price,seat_availablity
108,108,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3952,Super Luxury (Non AC Seater 2+2 Push Back),22:45,06h 30m,05:15,3.5,449,22
109,109,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35120,INDRA(A.C. Seater),22:45,06h 00m,04:45,3.6,528,30
110,110,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3557,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:45,05h 50m,04:35,3.1,670,45
111,111,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3542,Super Luxury (Non AC Seater 2+2 Push Back),22:50,07h 00m,05:50,3.9,469,30
112,112,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3962,INDRA(A.C. Seater),22:55,05h 50m,04:45,3.7,551,30
113,113,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 23703,Super Luxury (Non AC Seater 2+2 Push Back),23:00,05h 00m,04:00,3.9,436,27
114,114,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:45,06h 20m,06:05,4.5,400,18
115,115,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:50,05h 45m,05:35,4.6,350,33
116,116,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,AdSai RK Travels,Non A/C Seater / Sleeper (2+1),22:55,05h 15m,04:10,2.9,399,22
117,117,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),23:40,06h 15m,05:55,4.5,500,33
118,118,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,GMRK Tours and Travels,Volvo A/C Semi Sleeper (2+2),23:45,05h 40m,05:25,4.5,409,28
119,119,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),22:50,06h 30m,05:20,4.4,450,30
120,120,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),16:05,06h 55m,23:00,4.4,332,10
121,121,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri KVR Travels,A/C Sleeper (2+1),23:35,05h 40m,05:15,4.4,499,20
122,122,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater/Sleeper (2+1),22:00,07h 10m,05:10,4.5,379,13
123,123,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),23:10,06h 25m,05:35,4.5,450,34
124,124,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater/Sleeper (2+1),23:00,07h 00m,06:00,4.2,379,10
125,125,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),21:30,06h 50m,04:20,4.2,332,25
126,126,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri Durga Malleswari Travels,A/C Sleeper (2+1),23:10,06h 15m,05:25,4.3,609,9
127,127,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),22:35,06h 40m,05:15,4.4,379,22
128,128,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),23:15,07h 20m,06:35,4.5,427,22
129,129,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:45,07h 05m,05:50,4.2,360,25
130,130,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),23:50,06h 40m,06:30,4.2,379,20
131,131,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:05,06h 15m,05:20,4.7,350,27
132,132,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),22:30,07h 05m,05:35,4.1,332,31
133,133,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,LVP Travels,A/C Seater / Sleeper (2+1),22:19,06h 26m,04:45,4.2,499,22
134,134,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Yolo Bus,A/C Seater / Sleeper (2+1),22:46,05h 45m,04:31,4.0,450,24
135,135,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,LVR Travels,Non A/C Seater / Sleeper (2+1),23:37,06h 08m,05:45,4.0,450,21
136,136,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),23:30,07h 00m,06:30,3.9,379,24
